Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
;Recall@5;Recall@10;Recall@20;NDCG@5;NDCG@10;NDCG@20;MAP@5;MAP@10;MAP@20;HR@5;HR@10;HR@20
miniLM;0.03367009689798032;0.05620909911108188;0.09047998342733095;0.07072609892058475;0.07057261640227572;0.07807530933490933;0.03976850484465119;0.0315227792944143;0.029599108249193963;0.24929483866203944;0.3614782544487927;0.4917226611533634
mpnet;0.03639474504524303;0.061157578200257134;0.09925367090742206;0.07466415075888712;0.07595976510731534;0.08533941155002116;0.04240134920048899;0.03441370985564172;0.03282781264600589;0.2592409362770435;0.3780772354721997;0.5137635678948534
bge-small;0.03457204814017115;0.06013374224190985;0.10137417559131903;0.07244268929786594;0.07520175789236941;0.08597709227134455;0.04118731899218128;0.03432804296987691;0.033226466836682775;0.25113342686258583;0.3664549952004726;0.5011223510300524
popularity;0.036237278314702956;0.06029122269444006;0.09646252140620135;0.07473317575327919;0.07587758957940739;0.08416406818407708;0.04442282382173445;0.03691306864669811;0.03523905455189218;0.24188873236320188;0.33889941954374814;0.4492156096265756
cornac_mf;0.011489284997987752;0.020188126766962505;0.03375020827932917;0.0233526916460187;0.02520857698147634;0.029312455899900194;0.012433027903367104;0.010495002453891502;0.010127063553189063;0.09247472028204126;0.15217246999992626;0.2327872963424618
cornac_bpr;0.04196834979680998;0.07348152150619844;0.12137355003814311;0.09063474578849737;0.09374330600336662;0.10571377627606718;0.054392012436826315;0.04561262656416349;0.04404549450921223;0.28707876356180345;0.4073445785976118;0.533805860616744
